filing_date,period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,xbrl_source
2009-09-09,2009-07-31,10-Q,100082000000.0,3442000000.0,168942000000.0,,68822000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312509189177/wmt-20090731.xml
2009-12-08,2009-10-31,10-Q,98667000000.0,3239000000.0,172934000000.0,,69642000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312509248603/wmt-20091031.xml
2010-03-30,2010-01-31,10-K,405046000000.0,14335000000.0,170706000000.0,,72929000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312510071652/wmt-20100131.xml
2010-06-04,2010-04-30,10-Q,99097000000.0,3324000000.0,174371000000.0,,68602000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312510132759/wmt-20100430.xml
2010-09-01,2010-07-31,10-Q,103016000000.0,3596000000.0,176944000000.0,,66896000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312510202779/wmt-20100731.xml
2010-12-06,2010-10-31,10-Q,101239000000.0,3436000000.0,186890000000.0,,68020000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312510274171/wmt-20101031.xml
2011-03-30,2011-01-31,10-K,418952000000.0,16389000000.0,180663000000.0,,71247000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/wmt-20110131.xml
2011-06-03,2011-04-30,10-Q,103415000000.0,3399000000.0,186065000000.0,,67992000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312511158587/wmt-20110430.xml
2011-09-01,2011-07-31,10-Q,108638000000.0,3801000000.0,193656000000.0,,72848000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312511238857/wmt-20110731.xml
2011-12-08,2011-10-31,10-Q,109516000000.0,3336000000.0,195039000000.0,,71391000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312511335177/wmt-20111031.xml
2012-03-27,2012-01-31,10-K,443854000000.0,15699000000.0,193406000000.0,,75761000000.0,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/wmt-20120131.xml
2012-06-01,2012-04-30,10-Q,112272000000.0,3742000000.0,197100000000.0,,73935000000.0,https://www.sec.gov/Archives/edgar/data/104169/000144530512001926/wmt-20120430.xml
2012-09-06,2012-07-31,10-Q,113534000000.0,4016000000.0,195661000000.0,,74701000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416912000014/wmt-20120731.xml
2012-12-04,2012-10-31,10-Q,113204000000.0,3635000000.0,205818000000.0,,78601000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416912000018/wmt-20121031.xml
2013-03-26,2013-01-31,10-K,466114000000.0,16999000000.0,203105000000.0,,81738000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/wmt-20130131.xml
2013-06-07,2013-04-30,10-Q,113429000000.0,3784000000.0,202187000000.0,,75841000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416913000020/wmt-20130430.xml
2013-09-05,2013-07-31,10-Q,116216000000.0,4069000000.0,200969000000.0,,76686000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416913000037/wmt-20130731.xml
2013-10-21,2013-07-31,10-Q,116216000000.0,4069000000.0,200969000000.0,,76686000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416913000039/wmt-20130731.xml
2013-12-06,2013-10-31,10-Q,114876000000.0,3738000000.0,209876000000.0,,78522000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416913000051/wmt-20131031.xml
2014-03-21,2014-01-31,10-K,473076000000.0,16022000000.0,204751000000.0,,81339000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/wmt-20140131.xml
2014-06-06,2014-04-30,10-Q,114167000000.0,3593000000.0,202746000000.0,,78199000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416914000033/wmt-20140430.xml
2014-09-05,2014-07-31,10-Q,119336000000.0,4093000000.0,203985000000.0,,82823000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416914000057/wmt-20140731.xml
2014-12-01,2014-10-31,10-Q,118076000000.0,3711000000.0,207889000000.0,,84053000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416914000080/wmt-20141031.xml
2015-04-01,2015-01-31,10-K,482229000000.0,16363000000.0,203706000000.0,,85937000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmt-20150131.xml
2015-06-05,2015-04-30,10-Q,114002000000.0,3341000000.0,200747000000.0,,79990000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416915000022/wmt-20150430.xml
2015-09-09,2015-07-31,10-Q,119330000000.0,3475000000.0,198620000000.0,,82124000000.0,https://www.sec.gov/Archives/edgar/data/104169/000010416915000039/wmt-20150731.xml
