period_end,form,revenue,net_income,total_assets,total_liabilities,shareholders_equity,quarter,synthetic,note
,,,,,,,Q1 2010,,
2009-07-31,10-Q,100082000000.0,3442000000.0,168942000000.0,,68822000000.0,Q2 2010,False,
2009-10-31,10-Q,98667000000.0,3239000000.0,172934000000.0,,69642000000.0,Q3 2010,False,
2010-01-31,10-Q,206297000000.0,7654000000.0,170706000000.0,,72929000000.0,Q4 2010,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2010-04-30,10-Q,99097000000.0,3324000000.0,174371000000.0,,68602000000.0,Q1 2011,False,
2010-07-31,10-Q,103016000000.0,3596000000.0,176944000000.0,,66896000000.0,Q2 2011,False,
2010-10-31,10-Q,101239000000.0,3436000000.0,186890000000.0,,68020000000.0,Q3 2011,False,
2011-01-31,10-Q,115600000000.0,6033000000.0,180663000000.0,,71247000000.0,Q4 2011,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2011-04-30,10-Q,103415000000.0,3399000000.0,186065000000.0,,67992000000.0,Q1 2012,False,
2011-07-31,10-Q,108638000000.0,3801000000.0,193656000000.0,,72848000000.0,Q2 2012,False,
2011-10-31,10-Q,109516000000.0,3336000000.0,195039000000.0,,71391000000.0,Q3 2012,False,
2012-01-31,10-Q,122285000000.0,5163000000.0,193406000000.0,,75761000000.0,Q4 2012,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2012-04-30,10-Q,112272000000.0,3742000000.0,197100000000.0,,73935000000.0,Q1 2013,False,
2012-07-31,10-Q,113534000000.0,4016000000.0,195661000000.0,,74701000000.0,Q2 2013,False,
2012-10-31,10-Q,113204000000.0,3635000000.0,205818000000.0,,78601000000.0,Q3 2013,False,
2013-01-31,10-Q,127104000000.0,5606000000.0,203105000000.0,,81738000000.0,Q4 2013,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2013-04-30,10-Q,113429000000.0,3784000000.0,202187000000.0,,75841000000.0,Q1 2014,False,
2013-07-31,10-Q,116216000000.0,4069000000.0,200969000000.0,,76686000000.0,Q2 2014,False,
2013-10-31,10-Q,114876000000.0,3738000000.0,209876000000.0,,78522000000.0,Q3 2014,False,
2014-01-31,10-Q,128555000000.0,4431000000.0,204751000000.0,,81339000000.0,Q4 2014,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2014-04-30,10-Q,114167000000.0,3593000000.0,202746000000.0,,78199000000.0,Q1 2015,False,
2014-07-31,10-Q,119336000000.0,4093000000.0,203985000000.0,,82823000000.0,Q2 2015,False,
2014-10-31,10-Q,118076000000.0,3711000000.0,207889000000.0,,84053000000.0,Q3 2015,False,
2015-01-31,10-Q,130650000000.0,4966000000.0,203706000000.0,,85937000000.0,Q4 2015,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2015-04-30,10-Q,114002000000.0,3341000000.0,200747000000.0,,79990000000.0,Q1 2016,False,
2015-07-31,10-Q,119330000000.0,3475000000.0,198620000000.0,,82124000000.0,Q2 2016,False,
2015-10-31,10-Q,116598000000.0,3304000000.0,205144000000.0,,82630000000.0,Q3 2016,False,
2016-01-31,10-Q,128684000000.0,4574000000.0,199581000000.0,,83611000000.0,Q4 2016,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2016-04-30,10-Q,13608000000.0,3079000000.0,198705000000.0,,77758000000.0,Q1 2017,False,
2016-07-31,10-Q,119405000000.0,3773000000.0,197886000000.0,,79144000000.0,Q2 2017,False,
2016-10-31,10-Q,117176000000.0,3034000000.0,206857000000.0,,80475000000.0,Q3 2017,False,
2017-01-31,10-Q,231128000000.0,3757000000.0,198825000000.0,,80535000000.0,Q4 2017,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2017-04-30,10-Q,13993000000.0,160000000.0,199718000000.0,,76114000000.0,Q1 2018,False,
2017-07-31,10-Q,121949000000.0,2899000000.0,201566000000.0,,79046000000.0,Q2 2018,False,
2017-10-31,10-Q,122136000000.0,1749000000.0,209414000000.0,,78906000000.0,Q3 2018,False,
2018-01-31,10-Q,237683000000.0,5054000000.0,204522000000.0,,80822000000.0,Q4 2018,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2018-04-30,10-Q,121630000000.0,2134000000.0,204927000000.0,,78324000000.0,Q1 2019,False,
2018-07-31,10-Q,127059000000.0,-861000000.0,206062000000.0,,73812000000.0,Q2 2019,False,
2018-10-31,10-Q,123897000000.0,1710000000.0,226583000000.0,,79469000000.0,Q3 2019,False,
2019-01-31,10-Q,137743000000.0,3687000000.0,219295000000.0,,79634000000.0,Q4 2019,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2019-04-30,10-Q,2777000000.0,3842000000.0,234544000000.0,15100000000.0,74910000000.0,Q1 2020,False,
2019-07-31,10-Q,129388000000.0,3610000000.0,234861000000.0,15100000000.0,77131000000.0,Q2 2020,False,
2019-10-31,10-Q,126981000000.0,3288000000.0,239830000000.0,15100000000.0,78307000000.0,Q3 2020,False,
2020-01-31,10-Q,260780000000.0,4141000000.0,236495000000.0,15100000000.0,81552000000.0,Q4 2020,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2020-04-30,10-Q,133672000000.0,3990000000.0,232892000000.0,,74110000000.0,Q1 2021,False,
2020-07-31,10-Q,136824000000.0,6476000000.0,237382000000.0,,81197000000.0,Q2 2021,False,
2020-10-31,10-Q,133752000000.0,5135000000.0,250863000000.0,,87504000000.0,Q3 2021,False,
2021-01-31,10-Q,150985000000.0,-2091000000.0,252496000000.0,,87531000000.0,Q4 2021,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
2021-04-30,10-Q,137159000000.0,2730000000.0,236581000000.0,,84592000000.0,Q1 2022,False,
2021-07-31,10-Q,139871000000.0,4276000000.0,238552000000.0,,87127000000.0,Q2 2022,False,
2021-10-31,10-Q,139207000000.0,3105000000.0,244851000000.0,,90757000000.0,Q3 2022,False,
2022-01-31,10-Q,-415669238000.0,-10097060000.0,248678000.0,244860000.0,56000.0,Q4 2022,True,Q4 flows = 10K - (Q1+Q2+Q3); instants from 10K
