year,share_holder_equity_musd
2009,8693.0
2010,9754.0
2011,9843.0
2012,10381.0
2013,11081.0
2014,10824.0
2015,12707.0
2016,12258.0
2017,12407.0
2018,9812.0
2019,9040.0
2020,8055.0
2021,12767.0
2022,15281.0
2023,14004.0
2024,14430.0
2025,13213.0
