year,total_assets_musd
2009,13250.0
2010,14419.0
2011,14998.0
2012,15465.0
2013,17545.0
2014,18594.0
2015,21597.0
2016,21379.0
2017,23259.0
2018,22536.0
2019,23717.0
2020,31342.0
2021,37740.0
2022,40321.0
2023,37531.0
2024,38110.0
2025,36579.0
