year,total_liabilities_musd
2009,4557.0
2010,4665.0
2011,5155.0
2012,5084.0
2013,6464.0
2014,7770.0
2015,8890.0
2016,9121.0
2017,10852.0
2018,12724.0
2019,14677.0
2020,23287.0
2021,24973.0
2022,25040.0
2023,23527.0
2024,23680.0
2025,23366.0
