Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-09-01 00:00:00-04:00,1.4109448673315987,1.6378968940805174,1.383626541836987,1.6093783378601074,12347770400,0.0,0.0
2005-10-01 00:00:00-04:00,1.625890111478458,1.7405665005695068,1.4370634231550632,1.7288591861724854,18643447200,0.0,0.0
2005-11-01 00:00:00-05:00,1.718351788965369,2.13352949938388,1.7072436903687311,2.0359644889831543,13456427600,0.0,0.0
2005-12-01 00:00:00-05:00,2.069887904341998,2.265318801211827,2.065684990230014,2.158147096633911,13064164400,0.0,0.0
2006-01-01 00:00:00-05:00,2.1728563533552863,2.5937382560046975,2.127525535098382,2.266819477081299,21878371200,0.0,0.0
2006-02-01 00:00:00-05:00,2.250007294152502,2.295337292019447,1.888265129390274,2.056076765060425,18760697200,0.0,0.0
2006-03-01 00:00:00-05:00,2.0665847056609423,2.1011084341134127,1.7312605002619157,1.8828619718551636,23192632400,0.0,0.0
2006-04-01 00:00:00-05:00,1.911381274240816,2.162949194986113,1.832727971379883,2.1131162643432617,20119282400,0.0,0.0
2006-05-01 00:00:00-04:00,2.1245234716881263,2.215484297830484,1.7618801975823641,1.7943024635314941,15608779200,0.0,0.0
2006-06-01 00:00:00-04:00,1.796703937946731,1.8942689403351745,1.663414982375273,1.7192518711090088,17936623600,0.0,0.0
2006-07-01 00:00:00-04:00,1.7267573546948918,2.060280268208275,1.50580944932184,2.0401673316955566,17479742000,0.0,0.0
2006-08-01 00:00:00-04:00,2.0179522870955497,2.101408532880165,1.8786591402162562,2.036864995956421,17887646000,0.0,0.0
2006-09-01 00:00:00-04:00,2.0557767823876043,2.334963968272433,2.0359638589585565,2.310948133468628,17721558400,0.0,0.0
2006-10-01 00:00:00-04:00,2.2545105590881307,2.4796613468773927,2.1794599624819218,2.434030532836914,14387956800,0.0,0.0
2006-11-01 00:00:00-05:00,2.4346317622100004,2.796674021640599,2.3352645095296225,2.751643419265747,13834884000,0.0,0.0
2006-12-01 00:00:00-05:00,2.7558462963053088,2.7717573225279395,2.3046446315994964,2.5469067096710205,16890792800,0.0,0.0
2007-01-01 00:00:00-05:00,2.590437058921459,2.935968429907186,2.458648484092611,2.5736258029937744,27209781200,0.0,0.0
2007-02-01 00:00:00-05:00,2.5886355757404824,2.7261272914690817,2.487467841172938,2.5400030612945557,13722354800,0.0,0.0
2007-03-01 00:00:00-05:00,2.5225896698743173,2.906847286873661,2.5141840464015552,2.789168357849121,15918644000,0.0,0.0
2007-04-01 00:00:00-04:00,2.8260933006419786,3.077060951135641,2.689801888265539,2.996007204055786,13459740000,0.0,0.0
2007-05-01 00:00:00-04:00,2.9897034949113563,3.6675571629241253,2.958482462448634,3.6381375789642334,17365068000,0.0,0.0
2007-06-01 00:00:00-04:00,3.6354360496731912,3.830867077693142,3.4643218732552947,3.6636548042297363,23279541600,0.0,0.0
2007-07-01 00:00:00-04:00,3.6339360351492704,4.47059685227193,3.581400814974125,3.955451726913452,24018573600,0.0,0.0
2007-08-01 00:00:00-04:00,4.011888930279634,4.192309975321278,3.3508461800739,4.157186031341553,24360798000,0.0,0.0
2007-09-01 00:00:00-04:00,4.201014951626275,4.653117820970111,3.9026149854083303,4.607186794281006,20931223600,0.0,0.0
2007-10-01 00:00:00-04:00,4.642010767163803,5.707424665322334,4.590976602142084,5.702321529388428,23277791600,0.0,0.0
2007-11-01 00:00:00-04:00,5.661793706897759,5.784276581763875,4.5219302455778365,5.4702653884887695,26199790400,0.0,0.0
2007-12-01 00:00:00-05:00,5.4594582938957155,6.092882420339054,5.313260186738112,5.946384906768799,17252678800,0.0,0.0
2008-01-01 00:00:00-05:00,5.982109418332434,6.011829215063843,3.7867379463705073,4.063523769378662,35173888400,0.0,0.0
2008-02-01 00:00:00-05:00,4.089939285843727,4.100446163192072,3.4655211844112523,3.7531139850616455,24865954400,0.0,0.0
2008-03-01 00:00:00-05:00,3.7357024991235406,4.375130626933242,3.5423729808923183,4.307885646820068,22927273600,0.0,0.0
2008-04-01 00:00:00-04:00,4.391943617055977,5.403621601971287,4.311190048215305,5.2220001220703125,22786982400,0.0,0.0
2008-05-01 00:00:00-04:00,5.25231972754325,5.771067646904295,5.163460544046407,5.666297435760498,18588214400,0.0,0.0
