year,total_assets_musd
2009,130.0
2010,386.0
2011,713.0
2012,1114.0
2013,2417.0
2014,5831.0
2015,8068.0
2016,22664.0
2017,28655.0
2018,29740.0
2019,34309.0
2020,52148.0
2021,62131.0
2022,82338.0
2023,106618.0
2024,122070.0
