year,share_holder_equity_musd
2009,-254.0
2010,207.0
2011,224.0
2012,125.0
2013,667.0
2014,912.0
2015,1084.0
2016,5538.0
2017,5235.0
2018,5757.0
2019,7467.0
2020,23075.0
2021,31015.0
2022,45489.0
2023,63367.0
2024,73617.0
