date,price
2009-06-30,17.509138107299805
2009-07-31,17.324996948242188
2009-08-31,18.25944709777832
2009-09-30,19.052053451538086
2009-10-31,20.540956497192383
2009-11-30,21.881704330444336
2009-12-31,22.677818298339844
2010-01-31,20.96656036376953
2010-02-28,21.430885314941406
2010-03-31,21.894336700439453
2010-04-30,22.82871437072754
2010-05-31,19.3725643157959
2010-06-30,17.277637481689453
2010-07-31,19.380081176757812
2010-08-31,17.717050552368164
2010-09-30,18.487014770507812
2010-10-31,20.13266372680664
2010-11-30,19.185449600219727
2010-12-31,21.198169708251953
2011-01-31,21.061450958251953
2011-02-28,20.307331085205078
2011-03-31,19.398162841796875
2011-04-30,19.803083419799805
2011-05-31,19.23308753967285
2011-06-30,19.994415283203125
2011-07-31,21.07103157043457
2011-08-31,20.58493423461914
2011-09-30,19.26161766052246
2011-10-31,20.60814666748047
2011-11-30,19.944644927978516
2011-12-31,20.240930557250977
2012-01-31,23.024452209472656
2012-02-29,24.910499572753906
2012-03-31,25.31861686706543
2012-04-30,25.130250930786133
2012-05-31,23.059511184692383
2012-06-30,24.16547966003418
2012-07-31,23.280696868896484
2012-08-31,24.50846290588379
2012-09-30,23.665542602539062
2012-10-31,22.695383071899414
2012-11-30,21.342519760131836
2012-12-31,21.4146785736084
2013-01-31,22.00796890258789
2013-02-28,22.473112106323242
2013-03-31,23.127910614013672
2013-04-30,26.7575626373291
2013-05-31,28.410484313964844
2013-06-30,28.117427825927734
2013-07-31,25.919475555419922
2013-08-31,27.381004333496094
2013-09-30,27.282623291015625
2013-10-31,29.028776168823242
2013-11-30,31.49567413330078
2013-12-31,30.90094566345215
2014-01-31,31.256134033203125
2014-02-28,31.88164520263672
2014-03-31,34.111942291259766
2014-04-30,33.620933532714844
2014-05-31,34.31067657470703
2014-06-30,34.94762420654297
2014-07-31,36.17121505737305
2014-08-31,38.31142807006836
2014-09-30,39.09571075439453
2014-10-31,39.59324645996094
2014-11-30,40.572784423828125
2014-12-31,39.41865921020508
2015-01-31,34.284481048583984
2015-02-28,37.47705078125
2015-03-31,34.75069808959961
2015-04-30,41.5709114074707
2015-05-31,40.30989074707031
2015-06-30,37.978702545166016
2015-07-31,40.17225646972656
2015-08-31,37.68361282348633
2015-09-30,38.324378967285156
2015-10-31,45.58055114746094
2015-11-30,47.378456115722656
2015-12-31,48.363502502441406
2016-01-31,48.02353286743164
2016-02-29,44.672000885009766
2016-03-31,48.49124526977539
2016-04-30,43.78522872924805
2016-05-31,46.85880661010742
2016-06-30,45.2408447265625
2016-07-31,50.11240005493164
2016-08-31,51.11865997314453
2016-09-30,51.243194580078125
2016-10-31,53.307167053222656
2016-11-30,53.97180938720703
2016-12-31,55.655616760253906
2017-01-31,57.903709411621094
2017-02-28,57.6510124206543
2017-03-31,59.34505081176758
2017-04-30,61.68785095214844
2017-05-31,63.292049407958984
2017-06-30,62.467403411865234
2017-07-31,65.8839340209961
2017-08-31,68.12088012695312
2017-09-30,67.86577606201172
2017-10-31,75.7829818725586
2017-11-30,77.07005310058594
2017-12-31,78.32450103759766
2018-01-31,86.99568176269531
2018-02-28,86.26358032226562
2018-03-31,83.96371459960938
2018-04-30,86.03361511230469
2018-05-31,91.32186889648438
