date,price
2009-06-30,4.263704299926758
2009-07-31,4.891148090362549
2009-08-31,5.035439968109131
2009-09-30,5.5485310554504395
2009-10-31,5.642827033996582
2009-11-30,5.9843926429748535
2009-12-31,6.308291435241699
2010-01-31,5.7493977546691895
2010-02-28,6.125386714935303
2010-03-31,7.034824848175049
2010-04-30,7.8158416748046875
2010-05-31,7.689810752868652
2010-06-30,7.529656410217285
2010-07-31,7.7008867263793945
2010-08-31,7.277303695678711
2010-09-30,8.49417781829834
2010-10-31,9.009963035583496
2010-11-30,9.314406394958496
2010-12-31,9.655970573425293
2011-01-31,10.157687187194824
2011-02-28,10.573494911193848
2011-03-31,10.432791709899902
2011-04-30,10.481291770935059
2011-05-31,10.412439346313477
2011-06-30,10.048419952392578
2011-07-31,11.68918228149414
2011-08-31,11.520054817199707
2011-09-30,11.4149808883667
2011-10-31,12.117260932922363
2011-11-30,11.441319465637207
2011-12-31,12.123845100402832
2012-01-31,13.66491985321045
2012-02-29,16.238170623779297
2012-03-31,17.947784423828125
2012-04-30,17.481689453125
2012-05-31,17.294599533081055
2012-06-30,17.482290267944336
2012-07-31,18.283367156982422
2012-08-31,19.999740600585938
2012-09-30,20.0556583404541
2012-10-31,17.897674560546875
2012-11-30,17.67620277404785
2012-12-31,16.072208404541016
2013-01-31,13.756378173828125
2013-02-28,13.408534049987793
2013-03-31,13.446809768676758
2013-04-30,13.450454711914062
2013-05-31,13.752004623413086
2013-06-30,12.125234603881836
2013-07-31,13.83762264251709
2013-08-31,14.996757507324219
2013-09-30,14.674485206604004
2013-10-31,16.088838577270508
2013-11-30,17.215911865234375
2013-12-31,17.36915397644043
2014-01-31,15.498557090759277
2014-02-28,16.389894485473633
2014-03-31,16.7169246673584
2014-04-30,18.378528594970703
2014-05-31,19.82508659362793
2014-06-30,20.37347984313965
2014-07-31,20.958833694458008
2014-08-31,22.583335876464844
2014-09-30,22.1977596282959
2014-10-31,23.795124053955078
2014-11-30,26.31690216064453
2014-12-31,24.424949645996094
2015-01-31,25.925233840942383
2015-02-28,28.53788185119629
2015-03-31,27.64260482788086
2015-04-30,27.802555084228516
2015-05-31,29.063112258911133
2015-06-30,27.981149673461914
2015-07-31,27.05982208251953
2015-08-31,25.26856803894043
2015-09-30,24.71730613708496
2015-10-31,26.77894401550293
2015-11-30,26.623516082763672
2015-12-31,23.688854217529297
2016-01-31,21.906442642211914
2016-02-29,21.87824058532715
2016-03-31,24.66138458251953
2016-04-30,21.210735321044922
2016-05-31,22.733097076416016
2016-06-30,21.7632999420166
2016-07-31,23.723373413085938
2016-08-31,24.284475326538086
2016-09-30,25.875211715698242
2016-10-31,25.98736000061035
2016-11-30,25.426008224487305
2016-12-31,26.64531898498535
2017-01-31,27.91753578186035
2017-02-28,31.65228271484375
2017-03-31,33.193424224853516
2017-04-30,33.19112777709961
2017-05-31,35.44169998168945
2017-06-30,33.41395568847656
2017-07-31,34.506717681884766
2017-08-31,38.198909759521484
2017-09-30,35.897674560546875
2017-10-31,39.372825622558594
2017-11-30,40.171241760253906
2017-12-31,39.55879211425781
2018-01-31,39.138023376464844
2018-02-28,41.806644439697266
2018-03-31,39.379737854003906
2018-04-30,38.78827667236328
2018-05-31,44.02951431274414
2018-06-30,43.61481475830078
2018-07-31,44.8353157043457
2018-08-31,53.82130432128906
2018-09-30,53.374427795410156
2018-10-31,51.74769592285156
2018-11-30,42.37114334106445
2018-12-31,37.42650604248047
2019-01-31,39.49072265625
2019-02-28,41.258975982666016
2019-03-31,45.26216125488281
2019-04-30,47.81657028198242
2019-05-31,41.87713623046875
2019-06-30,47.3428955078125
2019-07-31,50.95964050292969
2019-08-31,50.120784759521484
2019-09-30,53.777679443359375
2019-10-31,59.730018615722656
2019-11-30,64.36235046386719
2019-12-31,70.72029876708984
2020-01-31,74.53990173339844
2020-02-29,65.99006652832031
2020-03-31,61.38650131225586
2020-04-30,70.92434692382812
2020-05-31,76.9595947265625
2020-06-30,88.30240631103516
2020-07-31,102.88391876220703
2020-08-31,125.16537475585938
2020-09-30,112.3326416015625
2020-10-31,105.5913314819336
2020-11-30,115.67459106445312
2020-12-31,128.92787170410156
2021-01-31,128.21853637695312
2021-02-28,117.99798583984375
2021-03-31,118.86404418945312
2021-04-30,127.92359924316406
2021-05-31,121.46383666992188
2021-06-30,133.5020294189453
2021-07-31,142.1773223876953
2021-08-31,148.21832275390625
2021-09-30,138.13406372070312
2021-10-31,146.23660278320312
2021-11-30,161.60340881347656
2021-12-31,173.59901428222656
