year,total_liabilities_musd
2009,38330.0
2010,39938.0
2011,51621.0
2012,54908.0
2013,63487.0
2014,82600.0
2015,94389.0
2016,121471.0
2017,162601.0
2018,176130.0
2019,184226.0
2020,183007.0
2021,191791.0
2022,198298.0
2023,205753.0
2024,243686.0
2025,275524.0
