year,total_liabilities_musd
2009,15861.0
2010,27392.0
2011,39756.0
2012,57854.0
2013,83451.0
2014,120292.0
2015,170990.0
2016,193437.0
2017,241272.0
2018,258578.0
2019,248028.0
2020,258549.0
2021,287912.0
2022,302083.0
2023,290437.0
2024,308030.0
