year,total_assets_musd
2009,1480.0
2010,2460.0
2011,3091.0
2012,4164.0
2013,5529.0
2014,9153.0
2015,10665.0
2016,12763.0
2017,17585.0
2018,21984.0
2019,30737.0
2020,55126.0
2021,66301.0
2022,95209.0
2023,98849.0
2024,99823.0
2025,102928.0
