year,total_liabilities_musd
2009,797.0
2010,1404.0
2011,1815.0
2012,2577.0
2013,3211.0
2014,6114.0
2015,6690.0
2016,7760.0
2017,10085.0
2018,11608.0
2019,15132.0
2020,21241.0
2021,24808.0
2022,37078.0
2023,40490.0
2024,40177.0
2025,41755.0
