year,share_holder_equity_musd
2009,648.0
2010,1013.0
2011,1590.0
2012,538.0
2013,544.0
2014,187.0
2015,-412.0
2016,416.0
2017,596.0
2018,1266.0
2019,2827.0
2020,5837.0
2021,7497.0
2022,54750.0
2023,55892.0
2024,57568.0
