year,revenue_musd
2009,5403.0
2010,6494.0
2011,6568.0
2012,5422.0
2013,5299.0
2014,5506.0
2015,3991.0
2016,4319.0
2017,5253.0
2018,6475.0
2019,6731.0
2020,9763.0
2021,16434.0
2022,23601.0
2023,22680.0
2024,25785.0
