year,net_income_musd
2009,304.0
2010,471.0
2011,491.0
2012,-1183.0
2013,-83.0
2014,-403.0
2015,-660.0
2016,-498.0
2017,-33.0
2018,337.0
2019,341.0
2020,2490.0
2021,3162.0
2022,1320.0
2023,854.0
2024,1641.0
