year,total_assets_musd
2009,9078.0
2010,4964.0
2011,4954.0
2012,4000.0
2013,4337.0
2014,3767.0
2015,3084.0
2016,3321.0
2017,3552.0
2018,4556.0
2019,6028.0
2020,8962.0
2021,12419.0
2022,67580.0
2023,67885.0
2024,69226.0
