year,revenue_musd
2009,2946.0
2010,3800.0
2011,4216.0
2012,4404.0
2013,4055.0
2014,4147.0
2015,4796.0
2016,5854.0
2017,7302.0
2018,9030.0
2019,11171.0
2020,12868.0
2021,15785.0
2022,17606.0
2023,19409.0
2024,21505.0
