year,net_income_musd
2009,387.0
2010,775.0
2011,833.0
2012,833.0
2013,290.0
2014,268.0
2015,630.0
2016,1169.0
2017,1694.0
2018,2591.0
2019,2951.0
2020,5260.0
2021,4822.0
2022,4756.0
2023,5428.0
2024,5560.0
