year,total_assets_musd
2009,7282.0
2010,8141.0
2011,8991.0
2012,10040.0
2013,10380.0
2014,10786.0
2015,11726.0
2016,12697.0
2017,14536.0
2018,18769.0
2019,20762.0
2020,24284.0
2021,27241.0
2022,27165.0
2023,29779.0
2024,30230.0
