year,total_assets_musd
2009,47501.0
2010,75183.0
2011,116371.0
2012,176064.0
2013,207000.0
2014,231839.0
2015,290345.0
2016,321686.0
2017,375319.0
2018,365725.0
2019,338516.0
2020,323888.0
2021,351002.0
2022,352755.0
2023,352583.0
2024,364980.0
