year,share_holder_equity_musd
2009,31640.0
2010,47791.0
2011,76615.0
2012,118210.0
2013,123549.0
2014,111547.0
2015,119355.0
2016,128249.0
2017,134047.0
2018,107147.0
2019,90488.0
2020,65339.0
2021,63090.0
2022,50672.0
2023,62146.0
2024,56950.0
