year,share_holder_equity_musd
2009,4891.0
2010,5192.0
2011,5783.0
2012,6665.0
2013,6725.0
2014,6776.0
2015,7002.0
2016,7425.0
2017,8460.0
2018,9362.0
2019,10530.0
2020,13264.0
2021,14797.0
2022,14051.0
2023,16518.0
2024,14105.0
