year,total_liabilities_musd
2009,2392.0
2010,2949.0
2011,3208.0
2012,3375.0
2013,3656.0
2014,4010.0
2015,4725.0
2016,5272.0
2017,6076.0
2018,9407.0
2019,10232.0
2020,11020.0
2021,12444.0
2022,13114.0
2023,13261.0
2024,16125.0
