year,net_income_musd
2009,14569.0
2010,18760.0
2011,23150.0
2012,16978.0
2013,21863.0
2014,22074.0
2015,12193.0
2016,20539.0
2017,25489.0
2018,16571.0
2019,39240.0
2020,44281.0
2021,61271.0
2022,72738.0
2023,72361.0
2024,88136.0
2025,101832.0
