year,share_holder_equity_musd
2009,39558.0
2010,46175.0
2011,57083.0
2012,66363.0
2013,78944.0
2014,89784.0
2015,80083.0
2016,71997.0
2017,87711.0
2018,82718.0
2019,102330.0
2020,118304.0
2021,141988.0
2022,166542.0
2023,206223.0
2024,268477.0
2025,343479.0
