,date,Price,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd,gdp_growth,interest_rate
0,2009-03-31,3.155714750289917,13648.0,2977.0,68853.0,31910.0,36943.0,-3.23,0.15
1,2009-06-30,4.275766372680664,13099.0,3045.0,77888.0,38330.0,39558.0,-3.98,0.16
2,2009-09-30,5.564228057861328,12920.0,3574.0,81612.0,40400.0,41212.0,-3.13,0.12
3,2009-12-31,6.3261399269104,19022.0,6662.0,82096.0,37813.0,44283.0,0.11,0.11
4,2010-03-31,7.054728031158447,14503.0,4006.0,84910.0,39200.0,45710.0,1.75,0.2
5,2010-06-30,7.550961971282959,16039.0,4518.0,86113.0,39938.0,46175.0,2.91,0.18
6,2010-09-30,8.518207550048828,16195.0,5410.0,91540.0,44598.0,46942.0,3.34,0.19
7,2010-12-31,9.683286666870115,19953.0,6634.0,92306.0,43825.0,48481.0,2.78,0.17
8,2011-03-31,10.462312698364258,16428.0,5232.0,99727.0,46275.0,53452.0,2.04,0.1
9,2011-06-30,10.076848983764648,17367.0,5874.0,108704.0,51621.0,57083.0,1.74,0.07
10,2011-09-30,11.447273254394531,17372.0,5738.0,107415.0,48024.0,59391.0,0.94,0.07
11,2011-12-31,12.158147811889648,20885.0,6624.0,112243.0,48122.0,64121.0,1.54,0.08
12,2012-03-31,17.99856185913086,17407.0,5108.0,118010.0,49351.0,68659.0,2.64,0.14
13,2012-06-30,17.531747817993164,18059.0,-492.0,121271.0,54908.0,66363.0,2.4,0.16
14,2012-09-30,20.112403869628903,16008.0,4466.0,121876.0,53040.0,68836.0,2.57,0.16
15,2012-12-31,16.117679595947266,21456.0,6377.0,128683.0,56107.0,72576.0,1.55,0.14
16,2013-03-31,13.484853744506836,20489.0,6055.0,134105.0,57417.0,76688.0,1.7,0.15
17,2013-06-30,12.159540176391602,19896.0,4965.0,142431.0,63487.0,78944.0,1.52,0.09
18,2013-09-30,14.71600341796875,18529.0,5244.0,142348.0,60707.0,81641.0,2.24,0.09
19,2013-12-31,17.418298721313477,24519.0,6558.0,153543.0,68443.0,85100.0,3.01,0.07
20,2014-03-31,16.76421546936035,20403.0,5660.0,156119.0,68695.0,87424.0,1.65,0.09
21,2014-06-30,20.43111228942871,23382.0,4612.0,172384.0,82600.0,89784.0,2.69,0.09
22,2014-09-30,22.260562896728516,23201.0,4540.0,169656.0,79486.0,90170.0,3.06,0.09
23,2014-12-31,24.49404525756836,26470.0,5863.0,174848.0,82969.0,91879.0,2.69,0.11
24,2015-03-31,27.720806121826172,21729.0,4985.0,176683.0,86551.0,90132.0,3.97,0.12
25,2015-06-30,28.06031608581543,22180.0,-3195.0,174472.0,94389.0,80083.0,3.28,0.13
26,2015-09-30,24.78722763061523,20379.0,4902.0,172896.0,95451.0,77445.0,2.45,0.12
27,2015-12-31,23.7558650970459,23796.0,5018.0,180098.0,103318.0,76780.0,2.12,0.34
28,2016-03-31,24.731157302856445,20531.0,3756.0,181869.0,107063.0,74806.0,1.8,0.37
29,2016-06-30,21.824874877929688,26448.0,6863.0,193468.0,121471.0,71997.0,1.49,0.39
30,2016-09-30,25.94841766357422,21928.0,5667.0,212524.0,142152.0,70372.0,1.81,0.4
31,2016-12-31,26.720699310302734,25826.0,6267.0,224610.0,155801.0,68809.0,2.18,0.65
32,2017-03-31,33.287330627441406,23212.0,5486.0,225017.0,155288.0,69729.0,2.09,0.9
33,2017-06-30,33.508487701416016,25605.0,8069.0,250312.0,162601.0,87711.0,2.33,1.15
