year,share_holder_equity_musd
2009,682.0
2010,1057.0
2011,1276.0
2012,1587.0
2013,2318.0
2014,3039.0
2015,3975.0
2016,5003.0
2017,7500.0
2018,10376.0
2019,15605.0
2020,33885.0
2021,41493.0
2022,58131.0
2023,58359.0
2024,59646.0
2025,61173.0
