year,revenue_musd,net_income_musd,total_assets_musd,total_liabilities_musd,share_holder_equity_musd
2019,236.0,-31.0,234.0,464.0,-230.0
2020,301.0,-14.0,241.0,478.0,-237.0
2021,319.0,-39.0,273.0,93.0,179.0
2022,314.0,-49.0,241.0,94.0,146.0
2023,344.0,-39.0,202.0,78.0,123.0
2024,378.0,-6.0,247.0,73.0,174.0
