date,net_income_musd
2019-12-31,
2020-03-31,1.0
2020-06-30,0.0
2020-09-30,-2.0
2020-12-31,-13.0
2021-03-31,-12.0
2021-06-30,-12.0
2021-09-30,-5.0
2021-12-31,-10.0
2022-03-31,-15.0
2022-06-30,-10.0
2022-09-30,-12.0
2022-12-31,-13.0
2023-03-31,-19.0
2023-06-30,-13.0
2023-09-30,-8.0
2023-12-31,1.0
2024-03-31,-1.0
2024-06-30,-4.0
2024-09-30,0.0
2024-12-31,-1.0
2025-03-31,3.0
2025-06-30,4.0
