date,revenue_musd
2019-12-31,
2020-03-31,72.0
2020-06-30,72.0
2020-09-30,78.0
2020-12-31,78.0
2021-03-31,81.0
2021-06-30,75.0
2021-09-30,83.0
2021-12-31,80.0
2022-03-31,69.0
2022-06-30,78.0
2022-09-30,85.0
2022-12-31,82.0
2023-03-31,83.0
2023-06-30,85.0
2023-09-30,86.0
2023-12-31,90.0
2024-03-31,86.0
2024-06-30,93.0
2024-09-30,99.0
2024-12-31,100.0
2025-03-31,97.0
2025-06-30,93.0
