year,total_liabilities_musd
2009,8430.0
2010,3951.0
2011,3364.0
2012,3462.0
2013,3793.0
2014,3580.0
2015,3496.0
2016,2905.0
2017,2956.0
2018,3290.0
2019,3201.0
2020,3125.0
2021,4922.0
2022,12830.0
2023,11993.0
2024,11658.0
